retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,fips
360,-35.0,-18.0,71.0,-12.0,-45.0,17.0,51191
361,-35.0,-18.0,71.0,-12.0,-45.0,17.0,55131
362,-38.0,-20.0,93.0,-28.0,-57.0,25.0,1129
363,-38.0,-20.0,93.0,-28.0,-57.0,25.0,5143
364,-38.0,-20.0,93.0,-28.0,-57.0,25.0,8121
365,-38.0,-20.0,93.0,-28.0,-57.0,25.0,12133
366,-38.0,-20.0,93.0,-28.0,-57.0,25.0,13303
367,-38.0,-20.0,93.0,-28.0,-57.0,25.0,16087
368,-38.0,-20.0,93.0,-28.0,-57.0,25.0,17189
369,-38.0,-20.0,93.0,-28.0,-57.0,25.0,18175
370,-38.0,-20.0,93.0,-28.0,-57.0,25.0,19183
371,-38.0,-20.0,93.0,-28.0,-57.0,25.0,20201
372,-38.0,-20.0,93.0,-28.0,-57.0,25.0,21229
373,-38.0,-20.0,93.0,-28.0,-57.0,25.0,23029
374,-38.0,-20.0,93.0,-28.0,-57.0,25.0,24043
375,-38.0,-20.0,93.0,-28.0,-57.0,25.0,27163
376,-38.0,-20.0,93.0,-28.0,-57.0,25.0,28151
377,-38.0,-20.0,93.0,-28.0,-57.0,25.0,29221
378,-38.0,-20.0,93.0,-28.0,-57.0,25.0,31177
379,-38.0,-20.0,93.0,-28.0,-57.0,25.0,36115
380,-38.0,-20.0,93.0,-28.0,-57.0,25.0,37187
381,-38.0,-20.0,93.0,-28.0,-57.0,25.0,39167
382,-38.0,-20.0,93.0,-28.0,-57.0,25.0,40147
383,-38.0,-20.0,93.0,-28.0,-57.0,25.0,41067
384,-38.0,-20.0,93.0,-28.0,-57.0,25.0,42125
385,-38.0,-20.0,93.0,-28.0,-57.0,25.0,44009
386,-38.0,-20.0,93.0,-28.0,-57.0,25.0,47179
387,-38.0,-20.0,93.0,-28.0,-57.0,25.0,48477
388,-38.0,-20.0,93.0,-28.0,-57.0,25.0,49053
389,-38.0,-20.0,93.0,-28.0,-57.0,25.0,50023
390,-38.0,-20.0,93.0,-28.0,-57.0,25.0,51191
391,-38.0,-20.0,93.0,-28.0,-57.0,25.0,55131
392,-41.0,-18.0,74.0,-52.0,-59.0,23.0,1129
393,-41.0,-18.0,74.0,-52.0,-59.0,23.0,5143
394,-41.0,-18.0,74.0,-52.0,-59.0,23.0,8121
395,-41.0,-18.0,74.0,-52.0,-59.0,23.0,12133
396,-41.0,-18.0,74.0,-52.0,-59.0,23.0,13303
397,-41.0,-18.0,74.0,-52.0,-59.0,23.0,16087
398,-41.0,-18.0,74.0,-52.0,-59.0,23.0,17189
399,-41.0,-18.0,74.0,-52.0,-59.0,23.0,18175
400,-41.0,-18.0,74.0,-52.0,-59.0,23.0,19183
401,-41.0,-18.0,74.0,-52.0,-59.0,23.0,20201
402,-41.0,-18.0,74.0,-52.0,-59.0,23.0,21229
403,-41.0,-18.0,74.0,-52.0,-59.0,23.0,23029
404,-41.0,-18.0,74.0,-52.0,-59.0,23.0,24043
405,-41.0,-18.0,74.0,-52.0,-59.0,23.0,27163
406,-41.0,-18.0,74.0,-52.0,-59.0,23.0,28151
407,-41.0,-18.0,74.0,-52.0,-59.0,23.0,29221
408,-41.0,-18.0,74.0,-52.0,-59.0,23.0,31177
409,-41.0,-18.0,74.0,-52.0,-59.0,23.0,36115
410,-41.0,-18.0,74.0,-52.0,-59.0,23.0,37187
411,-41.0,-18.0,74.0,-52.0,-59.0,23.0,39167
412,-41.0,-18.0,74.0,-52.0,-59.0,23.0,40147
413,-41.0,-18.0,74.0,-52.0,-59.0,23.0,41067
414,-41.0,-18.0,74.0,-52.0,-59.0,23.0,42125
415,-41.0,-18.0,74.0,-52.0,-59.0,23.0,44009
416,-41.0,-18.0,74.0,-52.0,-59.0,23.0,47179
