,fips,cases,deaths,never,rarely,sometimes,frequently,always,retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,pop_total,pop_density,candidate,risk_factor
132,41029,40,0,0.044000000000000004,0.077,0.075,0.138,0.665,-35.0,-6.0,51.0,-12.0,-41.0,13.0,203206,73.0,1,0
133,41035,19,0,0.09699999999999999,0.031,0.062,0.22699999999999998,0.583,-28.0,4.0,46.0,-12.0,-44.0,10.0,66380,11.2,1,0
134,42091,1521,37,0.016,0.019,0.044000000000000004,0.16,0.7609999999999999,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,799874,1655.9,0,1
135,42091,1521,37,0.016,0.019,0.044000000000000004,0.16,0.7609999999999999,-49.0,-29.0,57.0,-64.0,-67.0,29.0,799874,1655.9,0,1
136,42091,1521,37,0.016,0.019,0.044000000000000004,0.16,0.7609999999999999,-36.0,-6.0,94.0,-12.0,-50.0,17.0,799874,1655.9,0,1
137,42091,1521,37,0.016,0.019,0.044000000000000004,0.16,0.7609999999999999,-50.0,-32.0,49.0,-64.0,-64.0,27.0,799874,1655.9,0,1
138,42091,1521,37,0.016,0.019,0.044000000000000004,0.16,0.7609999999999999,-31.0,-2.0,4.0,-13.0,-47.0,18.0,799874,1655.9,0,1
139,42091,1521,37,0.016,0.019,0.044000000000000004,0.16,0.7609999999999999,-38.0,-14.0,8.0,-23.0,-49.0,20.0,799874,1655.9,0,1
140,51059,570,9,0.018000000000000002,0.016,0.054000000000000006,0.163,0.748,-47.0,-24.0,-12.0,-65.0,-69.0,30.0,1081726,2766.8,0,0
141,53037,15,0,0.032,0.084,0.033,0.179,0.672,-39.0,-8.0,7.0,-1.0,-58.0,17.0,40915,17.8,1,0
142,9001,4417,155,0.027000000000000003,0.019,0.06,0.114,0.78,-50.0,-20.0,-3.0,-66.0,-61.0,26.0,916829,1467.2,0,1
143,19103,147,1,0.013999999999999999,0.044000000000000004,0.069,0.2,0.6729999999999999,-42.0,-12.0,130.0,-11.0,-61.0,24.0,130882,213.1,0,0
144,21097,14,0,0.073,0.044000000000000004,0.031,0.047,0.804,-36.0,-11.0,7.0,-33.0,-46.0,16.0,18846,61.5,1,0
145,21097,14,0,0.073,0.044000000000000004,0.031,0.047,0.804,-44.0,-12.0,-20.0,-35.0,-41.0,15.0,18846,61.5,1,0
